Name,bb_cluster_rank,bb_cluster_size,subcluster_rank,subcluster_size
50214110,1,260,1,106
50214107,1,260,1,106
50167944,1,260,1,106
50167943,1,260,1,106
50167942,1,260,1,106
50167945,1,260,1,106
50167984,1,260,1,106
50167948,1,260,1,106
50167949,1,260,1,106
50167951,1,260,1,106
50167941,1,260,1,106
50167972,1,260,1,106
50167973,1,260,1,106
50167974,1,260,1,106
50167934,1,260,1,106
50167976,1,260,1,106
50167987,1,260,1,106
50167977,1,260,1,106
50167978,1,260,1,106
50167980,1,260,1,106
50168358,1,260,1,106
50167992,1,260,1,106
50167981,1,260,1,106
50168355,1,260,1,106
50168361,1,260,1,106
50167990,1,260,1,106
50168372,1,260,1,106
50168374,1,260,1,106
50168380,1,260,1,106
50168375,1,260,1,106
50168363,1,260,1,106
50168364,1,260,1,106
50168373,1,260,1,106
50168420,1,260,1,106
50168387,1,260,1,106
50212883,1,260,1,106
50212888,1,260,1,106
50212887,1,260,1,106
50212894,1,260,1,106
50212893,1,260,1,106
50212892,1,260,1,106
50212898,1,260,1,106
50212902,1,260,1,106
50212901,1,260,1,106
50212897,1,260,1,106
50212896,1,260,1,106
50212899,1,260,1,106
50212922,1,260,1,106
50212920,1,260,1,106
50212928,1,260,1,106
50212933,1,260,1,106
50212938,1,260,1,106
50214043,1,260,1,106
50214042,1,260,1,106
50212924,1,260,1,106
50212937,1,260,1,106
50214045,1,260,1,106
50214046,1,260,1,106
50214052,1,260,1,106
50214048,1,260,1,106
50212935,1,260,1,106
50214047,1,260,1,106
50214053,1,260,1,106
50214056,1,260,1,106
50214054,1,260,1,106
50214050,1,260,1,106
50214083,1,260,1,106
50214062,1,260,1,106
50214060,1,260,1,106
50214098,1,260,1,106
50214103,1,260,1,106
50214101,1,260,1,106
50214104,1,260,1,106
50214108,1,260,1,106
50214105,1,260,1,106
50214112,1,260,1,106
50214111,1,260,1,106
50214113,1,260,1,106
50212929,1,260,1,106
50168357,1,260,1,106
50212900,1,260,1,106
50168362,1,260,1,106
50168458,1,260,1,106
50212926,1,260,1,106
50214049,1,260,1,106
50214055,1,260,1,106
50214064,1,260,1,106
50214041,1,260,1,106
50214106,1,260,1,106
50214061,1,260,1,106
50214077,1,260,1,106
50214109,1,260,1,106
50214114,1,260,1,106
50214092,1,260,1,106
50214100,1,260,1,106
50214102,1,260,1,106
50167950,1,260,1,106
50167971,1,260,1,106
50167937,1,260,1,106
50167975,1,260,1,106
50167947,1,260,1,106
50167939,1,260,1,106
50167988,1,260,1,106
50167979,1,260,1,106
50167938,1,260,1,106
50168376,1,260,1,106
50147863,1,260,2,65
28721,1,260,2,65
28720,1,260,2,65
28722,1,260,2,65
50209149,1,260,2,65
50209151,1,260,2,65
50209150,1,260,2,65
50147869,1,260,2,65
50147868,1,260,2,65
50147874,1,260,2,65
50162065,1,260,2,65
50147873,1,260,2,65
50209141,1,260,2,65
50209143,1,260,2,65
50147861,1,260,2,65
50209157,1,260,2,65
50209162,1,260,2,65
50209145,1,260,2,65
50147876,1,260,2,65
50209132,1,260,2,65
50209144,1,260,2,65
50209146,1,260,2,65
248242,1,260,2,65
50147878,1,260,2,65
50147867,1,260,2,65
50147888,1,260,2,65
50147879,1,260,2,65
248245,1,260,2,65
50147895,1,260,2,65
50147905,1,260,2,65
50147880,1,260,2,65
50147921,1,260,2,65
50147899,1,260,2,65
50147914,1,260,2,65
50147892,1,260,2,65
50147875,1,260,2,65
50147883,1,260,2,65
50147900,1,260,2,65
50147906,1,260,2,65
50197270,1,260,2,65
50162053,1,260,2,65
50162005,1,260,2,65
50162051,1,260,2,65
50161998,1,260,2,65
50162054,1,260,2,65
50162021,1,260,2,65
50162073,1,260,2,65
50162074,1,260,2,65
50162079,1,260,2,65
50162097,1,260,2,65
50162077,1,260,2,65
50162101,1,260,2,65
50162091,1,260,2,65
50162134,1,260,2,65
50162138,1,260,2,65
50162165,1,260,2,65
50147865,1,260,2,65
50147881,1,260,2,65
50162063,1,260,2,65
50147908,1,260,2,65
50147896,1,260,2,65
50147894,1,260,2,65
50147910,1,260,2,65
50147916,1,260,2,65
50162155,1,260,2,65
50197336,1,260,3,22
50210666,1,260,3,22
50197324,1,260,3,22
50197326,1,260,3,22
50197331,1,260,3,22
50197338,1,260,3,22
50197340,1,260,3,22
50197341,1,260,3,22
50197343,1,260,3,22
50197361,1,260,3,22
50197381,1,260,3,22
50197388,1,260,3,22
50197392,1,260,3,22
50197393,1,260,3,22
50197398,1,260,3,22
50197413,1,260,3,22
50197429,1,260,3,22
50197410,1,260,3,22
50197431,1,260,3,22
50197266,1,260,3,22
50197265,1,260,3,22
50197271,1,260,3,22
50163076,1,260,4,21
29073,1,260,4,21
29083,1,260,4,21
29086,1,260,4,21
50146844,1,260,4,21
50150455,1,260,4,21
50150462,1,260,4,21
50150469,1,260,4,21
50163076,1,260,4,21
50163079,1,260,4,21
50163097,1,260,4,21
50163161,1,260,4,21
50156294,1,260,4,21
50156296,1,260,4,21
30276,1,260,4,21
30274,1,260,4,21
50220574,1,260,4,21
50220579,1,260,4,21
50163097,1,260,4,21
50163091,1,260,4,21
50163079,1,260,4,21
50162157,1,260,5,12
50210663,1,260,5,12
50162125,1,260,5,12
50162110,1,260,5,12
50162111,1,260,5,12
50162114,1,260,5,12
50162119,1,260,5,12
50162142,1,260,5,12
50162153,1,260,5,12
50162154,1,260,5,12
50162152,1,260,5,12
50162127,1,260,5,12
50154205,1,260,6,11
50139675,1,260,6,11
50154283,1,260,6,11
50141643,1,260,6,11
50141634,1,260,6,11
50141639,1,260,6,11
50139666,1,260,6,11
50141640,1,260,6,11
50141638,1,260,6,11
50141644,1,260,6,11
50154310,1,260,6,11
50161010,1,260,7,7
54116,1,260,7,7
54115,1,260,7,7
54117,1,260,7,7
29109,1,260,7,7
29105,1,260,7,7
29148,1,260,7,7
50162118,1,260,8,6
50210640,1,260,8,6
50210644,1,260,8,6
50210655,1,260,8,6
50210664,1,260,8,6
50210675,1,260,8,6
50161012,1,260,9,5
50161015,1,260,9,5
50161015,1,260,9,5
50161014,1,260,9,5
50161017,1,260,9,5
50215516,2,127,1,26
50220795,2,127,1,26
50158051,2,127,1,26
50215519,2,127,1,26
50215544,2,127,1,26
50158057,2,127,1,26
50222406,2,127,1,26
50157415,2,127,1,26
50157426,2,127,1,26
50157441,2,127,1,26
50157501,2,127,1,26
50093271,2,127,1,26
50215543,2,127,1,26
50215937,2,127,1,26
50215700,2,127,1,26
50215938,2,127,1,26
50215910,2,127,1,26
50215978,2,127,1,26
50215995,2,127,1,26
50216010,2,127,1,26
50215968,2,127,1,26
50215985,2,127,1,26
50215530,2,127,1,26
50215906,2,127,1,26
50216014,2,127,1,26
50216011,2,127,1,26
50157456,2,127,2,16
50215905,2,127,2,16
50157480,2,127,2,16
50157435,2,127,2,16
50157458,2,127,2,16
50157489,2,127,2,16
50157520,2,127,2,16
50168766,2,127,2,16
50168798,2,127,2,16
50168736,2,127,2,16
50168805,2,127,2,16
50168838,2,127,2,16
284495,2,127,2,16
50093272,2,127,2,16
284494,2,127,2,16
50168821,2,127,2,16
288429,2,127,3,12
288415,2,127,3,12
288427,2,127,3,12
288449,2,127,3,12
288461,2,127,3,12
288463,2,127,3,12
288470,2,127,3,12
288483,2,127,3,12
288490,2,127,3,12
361714,2,127,3,12
361715,2,127,3,12
50248132,2,127,3,12
50220736,2,127,4,12
50220708,2,127,4,12
50220705,2,127,4,12
50220715,2,127,4,12
50220718,2,127,4,12
50220719,2,127,4,12
50220716,2,127,4,12
50220713,2,127,4,12
50220721,2,127,4,12
50220717,2,127,4,12
50220728,2,127,4,12
220608,2,127,4,12
50220829,2,127,5,10
50220806,2,127,5,10
50220799,2,127,5,10
50220801,2,127,5,10
50220826,2,127,5,10
50220827,2,127,5,10
50220825,2,127,5,10
50220814,2,127,5,10
50220830,2,127,5,10
50220828,2,127,5,10
50222508,2,127,6,7
50158039,2,127,6,7
50158056,2,127,6,7
50158059,2,127,6,7
50158053,2,127,6,7
50158052,2,127,6,7
50222475,2,127,6,7
